股票代號,股票名稱,收盤價,股數_2025-09-02,今日權重%,股數_2025-09-01,昨日權重%,買賣超股數,權重Δ%
6669,緯穎,,140000,2.02,48000,0.68,92000,1.34
6223,旺矽,,525000,3.66,423000,2.95,102000,0.71
6472,保瑞,,176000,0.64,76000,0.27,100000,0.37
3529,力旺,,30000,0.35,0,0.0,30000,0.35
2345,智邦,,1162000,5.59,1124000,5.32,38000,0.27
3653,健策,,388000,4.13,352000,3.89,36000,0.24
3211,順達,,102000,0.18,0,0.0,102000,0.18
2449,京元電子,,5977000,4.53,5477000,4.35,500000,0.18
3661,世芯-KY,,291000,5.59,279000,5.47,12000,0.12
8028,昇陽半導體,,1499000,1.19,1499000,1.15,0,0.04
2481,強茂,,2175000,0.73,2175000,0.69,0,0.04
3017,奇鋐,,869000,4.12,869000,4.1,0,0.02
2884,玉山金,,14977010,2.54,14977010,2.53,0,0.01
3665,貿聯-KY,,1183848,5.67,1156848,5.66,27000,0.01
6143,振曜,,556000,0.35,556000,0.34,0,0.01
2886,兆豐金,,818000,0.17,818000,0.17,0,0.0
2891,中信金,,1000,0.0,1000,0.0,0,0.0
2618,長榮航,,430000,0.08,430000,0.08,0,0.0
3008,大立光,,32000,0.37,32000,0.37,0,0.0
1210,大成,,754000,0.2,754000,0.2,0,0.0
8996,高力,,1000,0.0,1000,0.0,0,0.0
6515,穎崴,,1000,0.01,1000,0.01,0,0.0
5347,世界,,232000,0.11,232000,0.11,0,0.0
6278,台表科,,1000,0.0,1000,0.0,0,0.0
4770,上品,,360000,0.54,360000,0.54,0,0.0
3605,宏致,,0,0.0,1000,0.0,-1000,0.0
3231,緯創,,998000,0.55,998000,0.55,0,0.0
3045,台灣大,,43000,0.02,43000,0.02,0,0.0
2317,鴻海,,1000,0.0,1000,0.0,0,0.0
2439,美律,,1000,0.0,1000,0.0,0,0.0
6757,台灣虎航,,142000,0.06,142000,0.06,0,0.0
4966,譜瑞-KY,,161000,0.6,161000,0.61,0,-0.01
3443,創意,,0,0.0,1000,0.01,-1000,-0.01
2059,川湖,,24000,0.35,24000,0.36,0,-0.01
2357,華碩,,726000,2.24,726000,2.25,0,-0.01
2454,聯發科,,523000,3.55,523000,3.56,0,-0.01
3533,嘉澤,,159000,1.11,159000,1.13,0,-0.02
3131,弘塑,,206000,1.51,206000,1.53,0,-0.02
6805,富世達,,386000,1.96,386000,1.99,0,-0.03
3376,新日興,,800000,0.92,800000,0.95,0,-0.03
2383,台光電,,926000,5.32,926000,5.36,0,-0.04
8210,勤誠,,822000,2.34,822000,2.38,0,-0.04
3583,辛耘,,888000,1.66,888000,1.7,0,-0.04
2330,台積電,,1601000,9.27,1601000,9.35,0,-0.08
8046,南電,,3399000,3.34,3399000,3.42,0,-0.08
6274,台燿,,1578000,2.58,1578000,2.7,0,-0.12
3217,優群,,1000,0.0,161000,0.14,-160000,-0.14
4958,臻鼎-KY,,4298000,3.96,4298000,4.11,0,-0.15
2308,台達電,,1214000,4.15,1320000,4.55,-106000,-0.4
2368,金像電,,1887000,4.1,2008000,4.59,-121000,-0.49
1560,中砂,,234000,0.38,593000,1.02,-359000,-0.64
6139,亞翔,,1000,0.0,648000,1.23,-647000,-1.23
