股票代號,股票名稱,股數,持股權重
1303,南亞,5445000,2.2455
1815,富喬,827000,0.1506
2059,川湖,293000,6.3236
2308,台達電,300000,1.1847
2330,台積電,1406000,8.3286
2337,旺宏,1343000,0.3709
2345,智邦,1080000,6.303
2383,台光電,563000,7.0077
2454,聯發科,406000,3.9677
2455,全新,2753000,2.2087
3008,大立光,520000,5.1467
3017,奇鋐,1002000,6.3862
3026,禾伸堂,215000,0.2469
3037,欣興,2097000,4.5337
3189,景碩,440013,0.7676
3231,緯創,7662000,3.5619
3260,威剛,358000,0.3503
3264,欣銓,72000,0.0337
3443,創意,211000,2.207
3583,辛耘,147000,0.2461
3661,世芯-KY,215000,1.7464
3665,貿聯-KY,991000,5.1891
3711,日月光投控,1629000,2.4836
4958,臻鼎-KY,1000000,1.0535
5289,宜鼎,98000,0.3392
5347,世界,629000,0.2373
6139,亞翔,250000,0.478
6187,萬潤,1220000,3.0645
6223,旺矽,326000,4.7299
6488,環球晶,394000,0.8528
6515,穎崴,42000,0.656
6584,南俊國際,2231000,2.5204
6669,緯穎,77000,1.1402
6805,富世達,109000,0.4004
7734,印能科技,56000,0.5164
7751,竑騰,310000,0.9646
8021,尖點,2501000,2.2191
8299,群聯,366000,1.61
8996,高力,1630000,3.8296
