股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,1000,0.0,
1560,中砂,514000,0.55,
2059,川湖,252000,3.77,
2308,台達電,1725000,5.86,
2317,鴻海,3890000,3.35,
2327,國巨*,1000,0.0,
2330,台積電,1794000,9.13,
2344,華邦電,1000,0.0,
2345,智邦,1635000,5.99,
2354,鴻準,3665000,0.89,
2357,華碩,1000,0.0,
2368,金像電,2565000,4.27,
2383,台光電,1214000,6.12,
2439,美律,1000,0.0,
2449,京元電子,4363000,3.3,
2454,聯發科,1000,0.0,
2884,玉山金,1010,0.0,
3008,大立光,1000,0.01,
3017,奇鋐,1408000,7.32,
3037,欣興,1000,0.0,
3045,台灣大,1000,0.0,
3211,順達,466000,0.48,
3217,優群,1000,0.0,
3231,緯創,3943000,1.95,
3376,新日興,76000,0.05,
3406,玉晶光,732000,1.09,
3515,華擎,998000,1.12,
3533,嘉澤,243000,1.17,
3583,辛耘,1000,0.0,
3653,健策,292000,2.22,
3661,世芯-KY,276000,3.52,
3665,貿聯-KY,1129848,5.38,
3711,日月光投控,1000,0.0,
4770,上品,1000,0.0,
4958,臻鼎-KY,1649000,0.9,
4966,譜瑞-KY,1000,0.0,
5274,信驊,54000,1.09,
5347,世界,1000,0.0,
5536,聖暉*,366000,0.96,
6139,亞翔,1000,0.0,
6191,精成科,2253000,1.01,
6223,旺矽,685000,4.81,
6274,台燿,2460000,3.4,
6472,保瑞,1000,0.0,
6515,穎崴,1000,0.01,
6669,緯穎,363000,5.45,
6805,富世達,594000,3.01,
8210,勤誠,822000,2.84,
8299,群聯,580000,2.34,
8996,高力,117000,0.27,
