股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,1401000,8.85,
2308,台達電,1528000,5.9,
2383,台光電,846000,5.76,
3665,貿聯-KY,1046848,5.59,
3017,奇鋐,980000,5.41,
2345,智邦,949000,5.08,
3661,世芯-KY,231000,5.03,
2368,金像電,1858000,4.92,
2454,聯發科,580000,4.37,
4958,臻鼎-KY,3998000,4.22,
8046,南電,3081000,3.79,
3653,健策,352000,3.65,
6274,台燿,1458000,2.78,
2449,京元電子,3481000,2.69,
8210,勤誠,762000,2.54,
2884,玉山金,13477010,2.47,
2357,華碩,696000,2.4,
6805,富世達,336000,2.09,
6223,旺矽,249000,1.74,
3583,辛耘,808000,1.73,
3131,弘塑,186000,1.56,
3533,嘉澤,159000,1.27,
6139,亞翔,648000,1.23,
2317,鴻海,1090000,1.22,
3376,新日興,800000,1.13,
1560,中砂,593000,1.12,
6669,緯穎,48000,0.78,
2481,強茂,2175000,0.77,
8028,昇陽半導體,897000,0.74,
4966,譜瑞-KY,161000,0.68,
3231,緯創,998000,0.62,
4770,上品,360000,0.56,
3443,創意,74000,0.54,
3008,大立光,32000,0.42,
6143,振曜,619000,0.4,
2059,川湖,24000,0.38,
6472,保瑞,76000,0.3,
1210,大成,754000,0.22,
2886,兆豐金,818000,0.18,
3217,優群,171000,0.16,
5347,世界,232000,0.12,
2618,長榮航,430000,0.09,
6757,台灣虎航,142000,0.06,
3045,台灣大,43000,0.02,
6515,穎崴,1000,0.01,
2439,美律,1000,0.0,
2891,中信金,1000,0.0,
3605,宏致,1000,0.0,
6278,台表科,1000,0.0,
8996,高力,1000,0.0,
